Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-02-17,131,NABIL,Nabil Bank Limited,487,495.9,485.3,494,70310,34507660.8,487,700,419,2025-02-17T14:59:59.678416,494,616,490.79,133661.57
2,2025-02-17,137,EBL,Everest Bank Limited,622.2,622.2,612,615.2,49733,30630347.1,610,790,487.3,2025-02-17T14:59:53.067304,615.2,287,615.89,79635.76
3,2025-02-17,140,MBL,Machhapuchhre Bank Limited,227.7,236.5,227.7,234,253204,58720213.7,227.6,295,157.8,2025-02-17T14:59:59.314537,234,437,231.9,27193.98
4,2025-02-17,141,LSL,Laxmi Sunrise Bank Limited,221.5,228.6,219,225.6,266980,60106820.9,219.5,300,143.6,2025-02-17T14:59:57.974116,225.6,535,225.13,54925.73
5,2025-02-17,142,KBL,Kumari Bank Limited,201,210.5,201,207.2,416349,85663795.5,200.8,272.9,129.6,2025-02-17T14:59:57.759311,207.2,1178,205.74,54339.98
6,2025-02-17,145,SBL,Siddhartha Bank Limited,277,289.6,277,288.4,48450,13779498.6,280.8,380,212.2,2025-02-17T14:59:57.405205,288.4,186,284.4,40635.5
7,2025-02-17,148,TRH,Taragaon Regency Hotel Limited,1140,1178.1,1130.2,1159,14179,16425979.1,1128.1,1538,695.1,2025-02-17T14:58:18.236681,1159,142,1158.47,22740.97
8,2025-02-17,149,OHL,Oriental Hotels Limited,945,1027,945,1006.2,58256,57821495.3,934.3,1205,704,2025-02-17T14:59:36.232412,1006.2,424,992.54,11918.39
9,2025-02-17,152,NHPC,National Hydro Power Company Limited,225.5,226.8,220,221.8,134193,30008953.5,222.9,290,136,2025-02-17T14:59:59.184352,221.8,380,223.62,5470.56
10,2025-02-17,153,BPCL,Butwal Power Company Limited,410,413,401.9,412,63136,25789330.6,405,536.5,284.4,2025-02-17T14:59:58.160171,412,204,408.47,14045.35
11,2025-02-17,154,CHCL,Chilime Hydropower Company Limited,535,535,525,526,30226,16012876.5,533,697,426.3,2025-02-17T14:59:59.325111,526,159,529.77,46195.41
12,2025-02-17,172,NABBC,Narayani Development Bank Limited,1393.6,1508,1375.1,1412,76345,108233645.1,1422,1508,392,2025-02-17T14:59:59.580945,1412,252,1417.69,3706.04
13,2025-02-17,176,NICL,Nepal Insurance Co. Ltd.,980,989,969,977,68201,66282112.6,984,1162,800,2025-02-17T14:59:35.584964,977,230,971.86,16064.24
14,2025-02-17,178,NLICL,National Life Insurance Co. Ltd.,600,600,595,596.1,19233,11512310,597,776.1,521.3,2025-02-17T14:59:56.748739,596.1,106,598.57,31069.53
15,2025-02-17,182,SPIL,Siddhartha Premier Insurance Limited,821,838,820,835.9,28211,23481641.8,828,1076,706,2025-02-17T14:59:56.962135,835.9,150,832.35,23459.95
16,2025-02-17,183,NIL,Neco Insurance Limited,781,789,778,778.1,8465,6605911.4,778,1050,750,2025-02-17T14:59:48.196129,778.1,82,780.37,19572.72
17,2025-02-17,186,IGI,IGI Prudential insurance Limited,621,632,620,622,86937,54470343.6,620,760,507,2025-02-17T14:59:48.474186,622,469,626.54,18842.46
18,2025-02-17,188,LICN,Life Insurance Corporation (Nepal) Limited,1110.9,1110.9,1080.6,1090,28063,30671188.5,1097,2475,1070,2025-02-17T14:59:09.858216,1090,264,1092.94,54500
19,2025-02-17,192,SICL,Shikhar Insurance Co. Ltd.,755,772,755,772,18130,13810019.7,755.9,1120,669.4,2025-02-17T14:59:58.863946,772,138,761.72,22545.81
20,2025-02-17,195,BNL,Bottlers Nepal (Balaju) Limited,17143.2,17486,17143.2,17486,30,517724,17493,23765.6,10447.7,2025-02-17T13:12:47.797017,17486,2,17257.46,34078.24
21,2025-02-17,213,BNT,Bottlers Nepal (Terai) Limited,13265.1,13350,13016,13209.9,215,2829309,13005,18100,11960.1,2025-02-17T14:59:51.969982,13209.9,15,13159.57,15983.98
22,2025-02-17,236,PFL,Pokhara Finance Ltd.,496.8,520,466,475,300974,146580817.3,487.1,795,339.9,2025-02-17T14:59:58.217874,475,2463,487.02,5142.14
23,2025-02-17,250,JFL,Janaki Finance Company Limited,589,625,585,588.6,156811,94413004.6,577.5,1083.3,350,2025-02-17T14:59:53.084611,588.6,1572,602.08,4064.12
24,2025-02-17,255,PRVU,Prabhu  Bank Limited,221.3,225.9,218,224,235079,52484000.2,217.6,297,132,2025-02-17T14:59:56.954488,224,778,223.26,52735.18
25,2025-02-17,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,554.2,584,554.2,558.5,54085,30543647.2,565.5,759,333,2025-02-17T14:59:58.528695,558.5,376,564.73,5653
26,2025-02-17,338,PROFL,Progressive Finance Limited,650.1,650.1,618,622.6,75319,47245828.6,637.8,865,295,2025-02-17T14:59:58.26058,622.6,629,627.27,5330.12
27,2025-02-17,341,GBIME,Global IME Bank Limited,220,225,219.5,224.9,182178,40641966.4,219.3,302,170,2025-02-17T14:59:45.372962,224.9,775,223.08,85722.55
28,2025-02-17,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,265,269.7,264.5,265,100119,26646306.2,265,349,149,2025-02-17T14:59:59.799741,265,353,266.14,10197.21
29,2025-02-17,132,NIMB,Nepal Investment Mega Bank Limited,214,220.3,211.1,218,230318,50084035.1,212,295,147.4,2025-02-17T14:59:30.946228,218,738,217.45,74400.34
30,2025-02-17,133,SCB,Standard Chartered Bank Limited,665,670.9,655.2,666,42904,28561103.7,663,790,497.4,2025-02-17T14:58:38.252063,666,194,665.69,66882.17
